country_code,country,year,value
ARE,United Arab Emirates,2000,
ARE,United Arab Emirates,2001,50787202178.3526
ARE,United Arab Emirates,2002,54362695711.3683
ARE,United Arab Emirates,2003,69538461538.4615
ARE,United Arab Emirates,2004,93968596324.03
ARE,United Arab Emirates,2005,122070878148.4
ARE,United Arab Emirates,2006,152433690946.222
ARE,United Arab Emirates,2007,186690265486.726
ARE,United Arab Emirates,2008,248808168822.328
ARE,United Arab Emirates,2009,201958883594.282
ARE,United Arab Emirates,2010,238328114363.513
ARE,United Arab Emirates,2011,315867937372.362
ARE,United Arab Emirates,2012,375513955071.477
ARE,United Arab Emirates,2013,392244520081.688
ARE,United Arab Emirates,2014,402728114363.513
ARE,United Arab Emirates,2015,358529611980.939
ARE,United Arab Emirates,2016,360626276378.489
ARE,United Arab Emirates,2017,382137508509.19
ARE,United Arab Emirates,2018,400217835262.083
ARE,United Arab Emirates,2019,404863172226.004
ARE,United Arab Emirates,2020,350277467665.078
ARE,United Arab Emirates,2021,425155888359.428
ARE,United Arab Emirates,2022,521897345132.743
ARE,United Arab Emirates,2023,558401633764.466
ARE,United Arab Emirates,2024,
ARE,United Arab Emirates,2025,
AUS,Australia,2000,80695888525.1996
AUS,Australia,2001,84096722017.0419
AUS,Australia,2002,82033782309.5723
AUS,Australia,2003,89138031450.2038
AUS,Australia,2004,105490823730.26
AUS,Australia,2005,126785667301.888
AUS,Australia,2006,148587374344.676
AUS,Australia,2007,172570464002.512
AUS,Australia,2008,212794797279.029
AUS,Australia,2009,213717313259.647
AUS,Australia,2010,227427026265.26
AUS,Australia,2011,299823615768.297
AUS,Australia,2012,332613569102.522
AUS,Australia,2013,315055128030.195
AUS,Australia,2014,309621975144.753
AUS,Australia,2015,271152836560.501
AUS,Australia,2016,232663011512.861
AUS,Australia,2017,281774035049.614
AUS,Australia,2018,312605804111.245
AUS,Australia,2019,336477593836.115
AUS,Australia,2020,319174580744.374
AUS,Australia,2021,343364164705.654
AUS,Australia,2022,431732710875.763
AUS,Australia,2023,463117015978.139
AUS,Australia,2024,432605705549.386
AUS,Australia,2025,418055624770.646
BRA,Brazil,2000,66777380518.3383
BRA,Brazil,2001,69279555096.2874
BRA,Brazil,2002,72546876638.2809
BRA,Brazil,2003,84744257516.308
BRA,Brazil,2004,110739032053.055
BRA,Brazil,2005,135919140236.363
BRA,Brazil,2006,159213742531.583
BRA,Brazil,2007,186202879575.236
BRA,Brazil,2008,229517035697.556
BRA,Brazil,2009,180891970353.521
BRA,Brazil,2010,240003137741.747
BRA,Brazil,2011,303016626325.823
BRA,Brazil,2012,292808395453.514
BRA,Brazil,2013,290364173324.942
BRA,Brazil,2014,270458130850.098
BRA,Brazil,2015,232488824444.589
BRA,Brazil,2016,223863343103.297
BRA,Brazil,2017,258330777006.501
BRA,Brazil,2018,280543266303.121
BRA,Brazil,2019,264562979421.068
BRA,Brazil,2020,242872071018.291
BRA,Brazil,2021,319251201403.084
BRA,Brazil,2022,383177602116.201
BRA,Brazil,2023,393731572887.926
BRA,Brazil,2024,392105346047.039
BRA,Brazil,2025,406298241937.141
CAN,Canada,2000,329258635782.102
CAN,Canada,2001,310667613636.364
CAN,Canada,2002,304705919836.87
CAN,Canada,2003,330149882235.386
CAN,Canada,2004,383240584166.026
CAN,Canada,2005,432369202838.752
CAN,Canada,2006,467052186177.715
CAN,Canada,2007,502770691741.923
CAN,Canada,2008,534150890346.767
CAN,Canada,2009,391985828011.548
CAN,Canada,2010,471736717163.276
CAN,Canada,2011,550163771962.44
CAN,Canada,2012,554964544782.69
CAN,Canada,2013,560108797442.998
CAN,Canada,2014,573083180253.852
CAN,Canada,2015,495747450357.728
CAN,Canada,2016,481357649980.237
CAN,Canada,2017,518766780219.71
CAN,Canada,2018,557719627178.031
CAN,Canada,2019,564142104614.779
CAN,Canada,2020,487990676642.934
CAN,Canada,2021,630478158309.719
CAN,Canada,2022,742056361162.595
CAN,Canada,2023,732380673864.391
CAN,Canada,2024,737073649328.937
CAN,Canada,2025,726879970410.257
CHN,China,2000,253092089737.0
CHN,China,2001,272060010515.89
CHN,China,2002,333002310923.451
CHN,China,2003,447958253781.62
CHN,China,2004,607356934124.72
CHN,China,2005,773339005396.99
CHN,China,2006,991731387760.501
CHN,China,2007,1258056795940.68
CHN,China,2008,1497868782939.59
CHN,China,2009,1262664161019.72
CHN,China,2010,1654823329663.86
CHN,China,2011,2006308960976.47
CHN,China,2012,2175069254663.85
CHN,China,2013,2354264539609.2
CHN,China,2014,2462825804851.16
CHN,China,2015,2362097053274.6
CHN,China,2016,2199974853570.14
CHN,China,2017,2424216052098.35
CHN,China,2018,2655609176087.45
CHN,China,2019,2641188436776.47
CHN,China,2020,2739785089628.44
CHN,China,2021,3537510275663.96
CHN,China,2022,3705070541732.88
CHN,China,2023,3544871083631.02
CHN,China,2024,3828873971971.62
CHN,China,2025,4108470555117.51
DEU,Germany,2000,583812721397.648
DEU,Germany,2001,600934274699.607
DEU,Germany,2002,655732684858.04
DEU,Germany,2003,792550922245.881
DEU,Germany,2004,967940099859.462
DEU,Germany,2005,1040265986689.49
DEU,Germany,2006,1187129764083.53
DEU,Germany,2007,1415809341318.83
DEU,Germany,2008,1559414079161.72
DEU,Germany,2009,1233301486982.42
DEU,Germany,2010,1369340699300.0
DEU,Germany,2011,1592275709231.52
DEU,Germany,2012,1535179851348.05
DEU,Germany,2013,1586778324179.22
DEU,Germany,2014,1653100023449.01
DEU,Germany,2015,1458592274325.0
DEU,Germany,2016,1472560807845.53
DEU,Germany,2017,1589089750187.06
DEU,Germany,2018,1723433049609.41
DEU,Germany,2019,1676629137011.76
DEU,Germany,2020,1541867660412.46
DEU,Germany,2021,1851846071996.09
DEU,Germany,2022,1916859170749.03
DEU,Germany,2023,1960255682615.72
DEU,Germany,2024,1941431210621.87
DEU,Germany,2025,2042329262308.23
FRA,France,2000,404994866619.609
FRA,France,2001,403310126488.544
FRA,France,2002,428784967658.903
FRA,France,2003,497989403585.685
FRA,France,2004,580996794039.114
FRA,France,2005,617386391343.813
FRA,France,2006,670507475708.117
FRA,France,2007,766429838941.689
FRA,France,2008,854598937578.437
FRA,France,2009,698805241356.796
FRA,France,2010,736352883613.335
FRA,France,2011,847885600684.827
FRA,France,2012,814445012227.5
FRA,France,2013,861474336499.179
FRA,France,2014,879595852391.448
FRA,France,2015,774108364253.242
FRA,France,2016,778134181664.243
FRA,France,2017,836510836277.649
FRA,France,2018,915638789626.901
FRA,France,2019,895514342479.214
FRA,France,2020,756174143647.162
FRA,France,2021,928139254791.07
FRA,France,2022,1023340977697.09
FRA,France,2023,1053069574154.53
FRA,France,2024,1071066237472.11
FRA,France,2025,1124107902931.06
GBR,United Kingdom,2000,427199273717.658
GBR,United Kingdom,2001,421484093853.462
GBR,United Kingdom,2002,437455035971.223
GBR,United Kingdom,2003,494048979591.837
GBR,United Kingdom,2004,582770047601.611
GBR,United Kingdom,2005,643121818181.818
GBR,United Kingdom,2006,745508739650.414
GBR,United Kingdom,2007,788841536614.646
GBR,United Kingdom,2008,806393382352.941
GBR,United Kingdom,2009,648817572830.659
GBR,United Kingdom,2010,717722225201.667
GBR,United Kingdom,2011,836521134497.73
GBR,United Kingdom,2012,829500825756.786
GBR,United Kingdom,2013,844879329622.476
GBR,United Kingdom,2014,880315812062.876
GBR,United Kingdom,2015,821200386071.742
GBR,United Kingdom,2016,786640412453.566
GBR,United Kingdom,2017,836020370556.138
GBR,United Kingdom,2018,922834772428.163
GBR,United Kingdom,2019,917433768894.232
GBR,United Kingdom,2020,815801724783.58
GBR,United Kingdom,2021,935667446175.151
GBR,United Kingdom,2022,1083593172366.25
GBR,United Kingdom,2023,1091653856200.64
GBR,United Kingdom,2024,1147692057154.76
GBR,United Kingdom,2025,1224670037744.72
IND,India,2000,60878472821.2004
IND,India,2001,60963415576.6447
IND,India,2002,73452895951.6331
IND,India,2003,90838575243.7621
IND,India,2004,126648472020.752
IND,India,2005,160838260680.778
IND,India,2006,199973922363.783
IND,India,2007,253077526013.168
IND,India,2008,288902044820.698
IND,India,2009,273752124889.211
IND,India,2010,375353514026.267
IND,India,2011,447384417625.093
IND,India,2012,448400477361.254
IND,India,2013,472180271340.149
IND,India,2014,468345815420.933
IND,India,2015,416787940847.812
IND,India,2016,439642578076.358
IND,India,2017,498258808231.521
IND,India,2018,538635186135.438
IND,India,2019,529245063167.215
IND,India,2020,499728529072.629
IND,India,2021,677769255428.552
IND,India,2022,781290791563.827
IND,India,2023,782620610192.051
IND,India,2024,829785193474.459
IND,India,2025,880740846621.545
JPN,Japan,2000,519863963884.546
JPN,Japan,2001,440830946383.947
JPN,Japan,2002,454066577343.924
JPN,Japan,2003,518203970379.571
JPN,Japan,2004,625631972493.599
JPN,Japan,2005,667445122493.381
JPN,Japan,2006,720411902737.162
JPN,Japan,2007,791701308241.369
JPN,Japan,2008,880075851760.119
JPN,Japan,2009,656874364781.057
JPN,Japan,2010,859110359863.237
JPN,Japan,2011,920847566473.829
JPN,Japan,2012,904081818094.558
JPN,Japan,2013,822673891615.076
JPN,Japan,2014,852957541825.285
JPN,Japan,2015,775031229090.987
JPN,Japan,2016,803470630550.066
JPN,Japan,2017,867373157903.215
