country_code,country,year,value
ARE,United Arab Emirates,2000,104337463730.167
ARE,United Arab Emirates,2001,103311631797.329
ARE,United Arab Emirates,2002,109816091078.603
ARE,United Arab Emirates,2003,124346476180.46
ARE,United Arab Emirates,2004,147824249957.985
ARE,United Arab Emirates,2005,180617467954.23
ARE,United Arab Emirates,2006,222116532963.026
ARE,United Arab Emirates,2007,257916148767.436
ARE,United Arab Emirates,2008,315474615741.223
ARE,United Arab Emirates,2009,253547358746.804
ARE,United Arab Emirates,2010,307736348527.33
ARE,United Arab Emirates,2011,368881033962.57
ARE,United Arab Emirates,2012,392793559050.783
ARE,United Arab Emirates,2013,409632574702.715
ARE,United Arab Emirates,2014,424935834104.193
ARE,United Arab Emirates,2015,381973135513.065
ARE,United Arab Emirates,2016,381717208620.964
ARE,United Arab Emirates,2017,403365056078.846
ARE,United Arab Emirates,2018,440560003161.236
ARE,United Arab Emirates,2019,433926218686.108
ARE,United Arab Emirates,2020,357161776271.328
ARE,United Arab Emirates,2021,422441282436.237
ARE,United Arab Emirates,2022,511403404642.173
ARE,United Arab Emirates,2023,522622268401.125
ARE,United Arab Emirates,2024,552324919095.872
ARE,United Arab Emirates,2025,
AUS,Australia,2000,416901962163.479
AUS,Australia,2001,380360222861.197
AUS,Australia,2002,396436967262.563
AUS,Australia,2003,468517181129.878
AUS,Australia,2004,615643050220.515
AUS,Australia,2005,696811489612.816
AUS,Australia,2006,749708370332.989
AUS,Australia,2007,856603595823.192
AUS,Australia,2008,1058448244063.77
AUS,Australia,2009,931761689770.843
AUS,Australia,2010,1152566632022.13
AUS,Australia,2011,1402939868653.4
AUS,Australia,2012,1552728401401.58
AUS,Australia,2013,1583737461925.39
AUS,Australia,2014,1474677007565.64
AUS,Australia,2015,1356805839935.9
AUS,Australia,2016,1211588128417.61
AUS,Australia,2017,1330890554614.09
AUS,Australia,2018,1433144978761.67
AUS,Australia,2019,1398349602956.35
AUS,Australia,2020,1333336461648.09
AUS,Australia,2021,1560617493202.69
AUS,Australia,2022,1695627535475.8
AUS,Australia,2023,1734451264655.6
AUS,Australia,2024,1757022451652.83
AUS,Australia,2025,1798518933689.21
BRA,Brazil,2000,655448231983.527
BRA,Brazil,2001,559983634798.981
BRA,Brazil,2002,509795273806.715
BRA,Brazil,2003,558233745651.874
BRA,Brazil,2004,669289424806.307
BRA,Brazil,2005,891633839894.183
BRA,Brazil,2006,1107626541434.92
BRA,Brazil,2007,1397114486368.67
BRA,Brazil,2008,1695855083497.52
BRA,Brazil,2009,1666996438581.43
BRA,Brazil,2010,2208837745100.55
BRA,Brazil,2011,2616156223917.69
BRA,Brazil,2012,2465227802806.76
BRA,Brazil,2013,2472819535557.21
BRA,Brazil,2014,2456043727198.85
BRA,Brazil,2015,1802212206814.5
BRA,Brazil,2016,1795693482853.01
BRA,Brazil,2017,2063514977365.65
BRA,Brazil,2018,1916933898010.99
BRA,Brazil,2019,1873288205059.69
BRA,Brazil,2020,1476107231310.49
BRA,Brazil,2021,1670647398904.9
BRA,Brazil,2022,1951923942083.32
BRA,Brazil,2023,2191131765684.63
BRA,Brazil,2024,2185821610689.31
BRA,Brazil,2025,2279920092492.13
CAN,Canada,2000,744773415931.587
CAN,Canada,2001,738981792355.372
CAN,Canada,2002,760650608551.583
CAN,Canada,2003,895542074084.648
CAN,Canada,2004,1026691006917.76
CAN,Canada,2005,1173118501402.87
CAN,Canada,2006,1319291255289.14
CAN,Canada,2007,1468820407783.26
CAN,Canada,2008,1552993439550.14
CAN,Canada,2009,1374627766599.6
CAN,Canada,2010,1617349192091.46
CAN,Canada,2011,1793335727900.85
CAN,Canada,2012,1828359477071.97
CAN,Canada,2013,1846583831414.43
CAN,Canada,2014,1805751688808.98
CAN,Canada,2015,1556510380200.23
CAN,Canada,2016,1527996250640.92
CAN,Canada,2017,1649269496514.62
CAN,Canada,2018,1725330736237.69
CAN,Canada,2019,1743728952156.85
CAN,Canada,2020,1655686966881.99
CAN,Canada,2021,2022377950896.78
CAN,Canada,2022,2200562785046.32
CAN,Canada,2023,2196593836347.42
CAN,Canada,2024,2270076189683.46
CAN,Canada,2025,2319899772425.92
CHN,China,2000,1223754919971.05
CHN,China,2001,1355036590251.52
CHN,China,2002,1489821682050.54
CHN,China,2003,1683903309843.85
CHN,China,2004,1984196551300.44
CHN,China,2005,2317551298052.05
CHN,China,2006,2791498472804.33
CHN,China,2007,3604055822571.63
CHN,China,2008,4667346414521.95
CHN,China,2009,5189577094997.58
CHN,China,2010,6192564874453.29
CHN,China,2011,7671757207851.29
CHN,China,2012,8673664713189.24
CHN,China,2013,9743124247267.24
CHN,China,2014,10674533168257.4
CHN,China,2015,11280814787468.9
CHN,China,2016,11456024084962.0
CHN,China,2017,12537559062282.9
CHN,China,2018,14147765772963.8
CHN,China,2019,14560167101283.4
CHN,China,2020,14996414166715.1
CHN,China,2021,18201698719564.0
CHN,China,2022,18316765021690.2
CHN,China,2023,18270356654533.2
CHN,China,2024,18729668435848.0
CHN,China,2025,19498039388042.6
DEU,Germany,2000,1966980701145.1
DEU,Germany,2001,1966381496641.73
DEU,Germany,2002,2102350798305.89
DEU,Germany,2003,2534715518349.01
DEU,Germany,2004,2852317768061.78
DEU,Germany,2005,2893393187361.87
DEU,Germany,2006,3046308753670.58
DEU,Germany,2007,3484056680854.91
DEU,Germany,2008,3808197720125.0
DEU,Germany,2009,3478545516683.59
DEU,Germany,2010,3467093769666.67
DEU,Germany,2011,3823575803793.78
DEU,Germany,2012,3596483233406.25
DEU,Germany,2013,3807023797050.99
DEU,Germany,2014,3964870735760.77
DEU,Germany,2015,3425099578746.09
DEU,Germany,2016,3536787895179.0
DEU,Germany,2017,3765351626105.89
DEU,Germany,2018,4055433215301.96
DEU,Germany,2019,3959894794039.21
DEU,Germany,2020,3941398957073.94
DEU,Germany,2021,4355251953410.78
DEU,Germany,2022,4201021706478.62
DEU,Germany,2023,4562207532490.28
DEU,Germany,2024,4685592577804.69
DEU,Germany,2025,5050922925047.05
FRA,France,2000,1360959069477.49
FRA,France,2001,1370376677298.86
FRA,France,2002,1492427756382.43
FRA,France,2003,1835095983049.09
FRA,France,2004,2109792297237.03
FRA,France,2005,2192146403028.17
FRA,France,2006,2317861544690.82
FRA,France,2007,2655816911866.56
FRA,France,2008,2926802941585.86
FRA,France,2009,2700075882518.98
FRA,France,2010,2646230027988.34
FRA,France,2011,2870408553990.28
FRA,France,2012,2683007095787.23
FRA,France,2013,2816077607875.26
FRA,France,2014,2861236112552.42
FRA,France,2015,2442483452642.5
FRA,France,2016,2470407619777.13
FRA,France,2017,2588868323334.71
FRA,France,2018,2781576320884.39
FRA,France,2019,2722793515171.76
FRA,France,2020,2647926055110.05
FRA,France,2021,2966433692008.09
FRA,France,2022,2794788137066.94
FRA,France,2023,3056250648138.29
FRA,France,2024,3160442622465.08
FRA,France,2025,3366315927447.33
GBR,United Kingdom,2000,1671597821152.97
GBR,United Kingdom,2001,1656171009068.66
GBR,United Kingdom,2002,1790536570743.41
GBR,United Kingdom,2003,2061227755102.04
GBR,United Kingdom,2004,2429774807762.72
GBR,United Kingdom,2005,2551361818181.82
GBR,United Kingdom,2006,2719558417663.29
GBR,United Kingdom,2007,3104699879951.98
GBR,United Kingdom,2008,2945251838235.29
GBR,United Kingdom,2009,2429358155475.93
GBR,United Kingdom,2010,2496740681057.14
GBR,United Kingdom,2011,2675590034128.66
GBR,United Kingdom,2012,2719715961539.83
GBR,United Kingdom,2013,2796908333283.39
GBR,United Kingdom,2014,3085362169410.29
GBR,United Kingdom,2015,2945579890258.46
GBR,United Kingdom,2016,2706807606538.73
GBR,United Kingdom,2017,2699118387873.1
GBR,United Kingdom,2018,2897028009916.05
GBR,United Kingdom,2019,2875710080015.3
GBR,United Kingdom,2020,2724001478304.59
GBR,United Kingdom,2021,3194559188925.93
GBR,United Kingdom,2022,3181244350465.41
GBR,United Kingdom,2023,3420796653789.08
GBR,United Kingdom,2024,3695539513534.15
GBR,United Kingdom,2025,4002587541846.01
IND,India,2000,468395521654.458
IND,India,2001,485440139204.171
IND,India,2002,514939140318.756
IND,India,2003,607700687237.318
IND,India,2004,709152728830.775
IND,India,2005,820383763511.445
IND,India,2006,940259888787.721
IND,India,2007,1216736438834.96
IND,India,2008,1198895139005.92
IND,India,2009,1341888016994.9
IND,India,2010,1675615519484.96
IND,India,2011,1823051829894.55
IND,India,2012,1827637590410.41
IND,India,2013,1856721507621.58
IND,India,2014,2039126479154.52
IND,India,2015,2103588360044.94
IND,India,2016,2294796885663.16
IND,India,2017,2651474262755.45
IND,India,2018,2702929641648.74
IND,India,2019,2835606256558.19
IND,India,2020,2674851578587.27
IND,India,2021,3167270623260.47
IND,India,2022,3249938492013.47
IND,India,2023,3500906030644.76
IND,India,2024,3760813470500.86
IND,India,2025,3956067115771.63
JPN,Japan,2000,5042381838343.44
JPN,Japan,2001,4438792748062.4
JPN,Japan,2002,4245946980572.3
JPN,Japan,2003,4573413206709.02
JPN,Japan,2004,4941485123806.53
JPN,Japan,2005,4875648486366.14
JPN,Japan,2006,4648058930707.24
JPN,Japan,2007,4624670179654.96
JPN,Japan,2008,5160197175876.43
JPN,Japan,2009,5336765697589.29
JPN,Japan,2010,5811578109447.07
