country_code,country,year,value
ARE,United Arab Emirates,2000,10.852837927302
ARE,United Arab Emirates,2001,1.39892161061073
ARE,United Arab Emirates,2002,2.43337487237925
ARE,United Arab Emirates,2003,8.80057809996346
ARE,United Arab Emirates,2004,9.56652626277928
ARE,United Arab Emirates,2005,4.85513657996815
ARE,United Arab Emirates,2006,9.83727922860218
ARE,United Arab Emirates,2007,3.18441281459761
ARE,United Arab Emirates,2008,3.19181235452885
ARE,United Arab Emirates,2009,-5.2429219073683
ARE,United Arab Emirates,2010,1.60285004336325
ARE,United Arab Emirates,2011,6.73651167897515
ARE,United Arab Emirates,2012,4.68325642918792
ARE,United Arab Emirates,2013,4.9184505919085
ARE,United Arab Emirates,2014,4.63291785879667
ARE,United Arab Emirates,2015,7.08766622657654
ARE,United Arab Emirates,2016,5.65790147196586
ARE,United Arab Emirates,2017,-1.06137114472548
ARE,United Arab Emirates,2018,1.53720634021511
ARE,United Arab Emirates,2019,1.27129120536284
ARE,United Arab Emirates,2020,-8.69343363776639
ARE,United Arab Emirates,2021,4.55280140106356
ARE,United Arab Emirates,2022,7.51452414254605
ARE,United Arab Emirates,2023,4.30113648499413
ARE,United Arab Emirates,2024,3.99181200361831
ARE,United Arab Emirates,2025,
AUS,Australia,2000,3.9160574881715
AUS,Australia,2001,2.03145880248898
AUS,Australia,2002,3.94980535772942
AUS,Australia,2003,3.0912800997751
AUS,Australia,2004,4.21894147547516
AUS,Australia,2005,3.15548121323168
AUS,Australia,2006,2.7709261737475
AUS,Australia,2007,3.78947119882653
AUS,Australia,2008,3.62398503565633
AUS,Australia,2009,1.95484826298522
AUS,Australia,2010,2.21004795300735
AUS,Australia,2011,2.39473494330615
AUS,Australia,2012,3.95247138119184
AUS,Australia,2013,2.65445302592404
AUS,Australia,2014,2.60118978187332
AUS,Australia,2015,2.16434780647852
AUS,Australia,2016,2.75564065529868
AUS,Australia,2017,2.29331030192918
AUS,Australia,2018,2.87417039499501
AUS,Australia,2019,2.19401703622717
AUS,Australia,2020,-0.133531904304775
AUS,Australia,2021,2.00694844335034
AUS,Australia,2022,4.25304559238732
AUS,Australia,2023,3.58382100798981
AUS,Australia,2024,1.37340773365975
AUS,Australia,2025,1.35039785076631
BRA,Brazil,2000,4.38794944745618
BRA,Brazil,2001,1.38989640095637
BRA,Brazil,2002,3.05346185909312
BRA,Brazil,2003,1.14082899824888
BRA,Brazil,2004,5.75996463670954
BRA,Brazil,2005,3.20213206130431
BRA,Brazil,2006,3.96198871122617
BRA,Brazil,2007,6.06987060678338
BRA,Brazil,2008,5.09419544658736
BRA,Brazil,2009,-0.125812002161169
BRA,Brazil,2010,7.52822581815364
BRA,Brazil,2011,3.97442307944702
BRA,Brazil,2012,1.92117598576537
BRA,Brazil,2013,3.00482266944432
BRA,Brazil,2014,0.503955740242247
BRA,Brazil,2015,-3.54576339269425
BRA,Brazil,2016,-3.27591690782192
BRA,Brazil,2017,1.32286905404399
BRA,Brazil,2018,1.783666761634
BRA,Brazil,2019,1.22077782360842
BRA,Brazil,2020,-3.2767587964736
BRA,Brazil,2021,4.76260437908608
BRA,Brazil,2022,3.01669435393015
BRA,Brazil,2023,3.24165532906981
BRA,Brazil,2024,3.41931516501906
BRA,Brazil,2025,2.2857464902475
CAN,Canada,2000,5.13853918994158
CAN,Canada,2001,1.87509813099847
CAN,Canada,2002,2.99925533832644
CAN,Canada,2003,1.8063851195103
CAN,Canada,2004,3.09236381038156
CAN,Canada,2005,3.21045441502793
CAN,Canada,2006,2.63794375302722
CAN,Canada,2007,2.04990459443619
