country_code,country,year,value
ARE,United Arab Emirates,2000,
ARE,United Arab Emirates,2001,42053369639.2104
ARE,United Arab Emirates,2002,47845064669.8434
ARE,United Arab Emirates,2003,57668073519.401
ARE,United Arab Emirates,2004,78428046289.9932
ARE,United Arab Emirates,2005,93862491490.8101
ARE,United Arab Emirates,2006,112930428863.172
ARE,United Arab Emirates,2007,166134240980.259
ARE,United Arab Emirates,2008,219714363512.594
ARE,United Arab Emirates,2009,187139823008.85
ARE,United Arab Emirates,2010,178610755616.065
ARE,United Arab Emirates,2011,215973042886.317
ARE,United Arab Emirates,2012,239748672566.372
ARE,United Arab Emirates,2013,252509462219.197
ARE,United Arab Emirates,2014,275110959836.624
ARE,United Arab Emirates,2015,268999319264.806
ARE,United Arab Emirates,2016,270714771953.71
ARE,United Arab Emirates,2017,285336963921.035
ARE,United Arab Emirates,2018,281535738597.685
ARE,United Arab Emirates,2019,306004084411.164
ARE,United Arab Emirates,2020,297228046289.993
ARE,United Arab Emirates,2021,347528931245.745
ARE,United Arab Emirates,2022,427991831177.672
ARE,United Arab Emirates,2023,481851599727.706
ARE,United Arab Emirates,2024,
ARE,United Arab Emirates,2025,
AUS,Australia,2000,89663284607.9064
AUS,Australia,2001,83770437082.2828
AUS,Australia,2002,82017039226.4277
AUS,Australia,2003,98900407687.8276
AUS,Australia,2004,121992459809.361
AUS,Australia,2005,145652868456.563
AUS,Australia,2006,162450827269.882
AUS,Australia,2007,186601240480.49
AUS,Australia,2008,239715332950.148
AUS,Australia,2009,211106497147.687
AUS,Australia,2010,238100480913.207
AUS,Australia,2011,285510760029.696
AUS,Australia,2012,335367853143.349
AUS,Australia,2013,335869075673.186
AUS,Australia,2014,314156216978.941
AUS,Australia,2015,291850364122.4
AUS,Australia,2016,261827324555.529
AUS,Australia,2017,277671313150.053
AUS,Australia,2018,311861687284.904
AUS,Australia,2019,306786753625.531
AUS,Australia,2020,274154332727.111
AUS,Australia,2021,284038962017.929
AUS,Australia,2022,343078219088.328
AUS,Australia,2023,387533147572.319
AUS,Australia,2024,395749225409.455
AUS,Australia,2025,407490633310.53
BRA,Brazil,2000,81614535020.0582
BRA,Brazil,2001,81559232850.0804
BRA,Brazil,2002,68250204101.3395
BRA,Brazil,2003,72344866164.6317
BRA,Brazil,2004,87894373254.5582
BRA,Brazil,2005,105595891948.291
BRA,Brazil,2006,129231037310.712
BRA,Brazil,2007,167163857933.354
BRA,Brazil,2008,232731840904.542
BRA,Brazil,2009,187613855712.734
BRA,Brazil,2010,262997327803.632
BRA,Brazil,2011,323144804340.432
BRA,Brazil,2012,326315660071.406
BRA,Brazil,2013,347276016899.117
BRA,Brazil,2014,335826230156.841
BRA,Brazil,2015,253272712377.634
BRA,Brazil,2016,216686387069.85
BRA,Brazil,2017,243510584262.84
BRA,Brazil,2018,272994464677.427
BRA,Brazil,2019,276634813667.029
BRA,Brazil,2020,233941246230.247
BRA,Brazil,2021,309853308958.678
BRA,Brazil,2022,374482483050.831
BRA,Brazil,2023,343939883228.749
BRA,Brazil,2024,385708868264.323
BRA,Brazil,2025,398319353081.263
CAN,Canada,2000,287155747087.738
CAN,Canada,2001,268281895661.157
CAN,Canada,2002,271159115529.217
CAN,Canada,2003,295296552708.586
CAN,Canada,2004,337418139892.391
CAN,Canada,2005,385981185014.029
CAN,Canada,2006,430736071932.299
CAN,Canada,2007,470813704496.788
CAN,Canada,2008,506718837863.168
CAN,Canada,2009,411817863703.963
CAN,Canada,2010,502035342676.986
CAN,Canada,2011,570642753938.112
CAN,Canada,2012,589511490951.583
CAN,Canada,2013,589048627265.353
CAN,Canada,2014,589434433378.268
CAN,Canada,2015,534115083556.223
CAN,Canada,2016,517396012626.09
CAN,Canada,2017,554922650425.45
CAN,Canada,2018,591347645767.306
CAN,Canada,2019,589706748631.384
CAN,Canada,2020,524572641557.224
CAN,Canada,2021,628388638999.206
CAN,Canada,2022,731290006744.08
CAN,Canada,2023,729991623300.122
CAN,Canada,2024,741233987715.737
CAN,Canada,2025,746500089837.294
CHN,China,2000,224306238158.48
CHN,China,2001,243973790217.759
CHN,China,2002,295619639659.43
CHN,China,2003,412137124715.32
CHN,China,2004,556182551584.76
CHN,China,2005,648712207879.781
CHN,China,2006,782812463259.9
CHN,China,2007,950020767157.33
CHN,China,2008,1149036249785.66
CHN,China,2009,1042533759652.94
CHN,China,2010,1432422435977.06
CHN,China,2011,1825413639206.37
CHN,China,2012,1943205232867.15
CHN,China,2013,2119392421427.69
