indicator_code,indicator_name,country,countryiso3code,year,value,unit,obs_status,decimal
EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",United Arab Emirates,ARE,2025,,,,0
EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",United Arab Emirates,ARE,2024,,,,0
EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",United Arab Emirates,ARE,2023,,,,0
EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",United Arab Emirates,ARE,2022,-171.482371329992,,,0
EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",United Arab Emirates,ARE,2021,-148.779300357276,,,0
EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",United Arab Emirates,ARE,2020,-166.676304495143,,,0
EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",United Arab Emirates,ARE,2019,-157.251588097578,,,0
EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",United Arab Emirates,ARE,2018,-159.725700134966,,,0
EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",United Arab Emirates,ARE,2017,-163.562735811068,,,0
EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",United Arab Emirates,ARE,2016,-138.130060398239,,,0
EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",United Arab Emirates,ARE,2015,-144.956335243698,,,0
EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",United Arab Emirates,ARE,2014,-153.250707324208,,,0
EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",United Arab Emirates,ARE,2013,-197.723542414887,,,0
EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",United Arab Emirates,ARE,2012,-204.392627312405,,,0
EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",United Arab Emirates,ARE,2011,-203.925954383789,,,0
EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",United Arab Emirates,ARE,2010,-174.858852041957,,,0
EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",United Arab Emirates,ARE,2009,-151.936703989788,,,0
EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",United Arab Emirates,ARE,2008,-189.037429177801,,,0
EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",United Arab Emirates,ARE,2007,-239.143526278874,,,0
EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",United Arab Emirates,ARE,2006,-275.297889831981,,,0
EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",United Arab Emirates,ARE,2005,-271.877260330466,,,0
EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",United Arab Emirates,ARE,2004,-282.902083582046,,,0
EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",United Arab Emirates,ARE,2003,-262.635909408767,,,0
EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",United Arab Emirates,ARE,2002,-227.237770609243,,,0
EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",United Arab Emirates,ARE,2001,-237.173477911049,,,0
EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",United Arab Emirates,ARE,2000,-362.474926037534,,,0
EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",Australia,AUS,2025,,,,0
EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",Australia,AUS,2024,,,,0
EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",Australia,AUS,2023,-214.471540281044,,,0
EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",Australia,AUS,2022,-234.279345921201,,,0
EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",Australia,AUS,2021,-232.104772123918,,,0
EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",Australia,AUS,2020,-237.32858019566,,,0
EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",Australia,AUS,2019,-230.540248121,,,0
EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",Australia,AUS,2018,-221.13514781466,,,0
EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",Australia,AUS,2017,-213.039219172204,,,0
EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",Australia,AUS,2016,-206.230251314561,,,0
EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",Australia,AUS,2015,-197.386842232292,,,0
EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",Australia,AUS,2014,-185.555789490717,,,0
EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",Australia,AUS,2013,-164.691774053304,,,0
EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",Australia,AUS,2012,-149.195380388504,,,0
EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",Australia,AUS,2011,-141.942926034157,,,0
EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",Australia,AUS,2010,-146.708346775748,,,0
EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",Australia,AUS,2009,-128.476617177707,,,0
EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",Australia,AUS,2008,-123.534610231999,,,0
EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",Australia,AUS,2007,-127.764290888944,,,0
EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",Australia,AUS,2006,-123.806910241922,,,0
EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",Australia,AUS,2005,-131.07466643319,,,0
EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",Australia,AUS,2004,-125.872031210017,,,0
EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",Australia,AUS,2003,-125.288697474724,,,0
EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",Australia,AUS,2002,-130.62417241528,,,0
EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",Australia,AUS,2001,-126.513619589279,,,0
EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",Australia,AUS,2000,-117.602689924911,,,0
EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",Brazil,BRA,2025,,,,0
EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",Brazil,BRA,2024,,,,0
EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",Brazil,BRA,2023,-13.6808969364254,,,0
EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",Brazil,BRA,2022,-7.28721052757992,,,0
EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",Brazil,BRA,2021,-3.84763107467013,,,0
