indicator_code,indicator_name,country,countryiso3code,year,value,unit,obs_status,decimal
EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita),United Arab Emirates,ARE,2025,,,,0
EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita),United Arab Emirates,ARE,2024,,,,0
EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita),United Arab Emirates,ARE,2023,9139.5423044996,,,0
EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita),United Arab Emirates,ARE,2022,8303.27667116047,,,0
EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita),United Arab Emirates,ARE,2021,8500.46410586578,,,0
EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita),United Arab Emirates,ARE,2020,8105.43812949633,,,0
EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita),United Arab Emirates,ARE,2019,8736.63609388178,,,0
EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita),United Arab Emirates,ARE,2018,8363.00928463633,,,0
EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita),United Arab Emirates,ARE,2017,8378.97733971587,,,0
EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita),United Arab Emirates,ARE,2016,10191.6184664294,,,0
EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita),United Arab Emirates,ARE,2015,9973.9828745403,,,0
EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita),United Arab Emirates,ARE,2014,9398.40039523838,,,0
EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita),United Arab Emirates,ARE,2013,8654.48549263775,,,0
EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita),United Arab Emirates,ARE,2012,8466.34602792332,,,0
EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita),United Arab Emirates,ARE,2011,8498.19879197847,,,0
EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita),United Arab Emirates,ARE,2010,8849.86287819387,,,0
EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita),United Arab Emirates,ARE,2009,9445.23902000287,,,0
EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita),United Arab Emirates,ARE,2008,9425.05532774732,,,0
EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita),United Arab Emirates,ARE,2007,8929.1273242532,,,0
EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita),United Arab Emirates,ARE,2006,9239.04144595382,,,0
EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita),United Arab Emirates,ARE,2005,9535.07550578601,,,0
EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita),United Arab Emirates,ARE,2004,9441.12715739602,,,0
EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita),United Arab Emirates,ARE,2003,10102.2168560285,,,0
EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita),United Arab Emirates,ARE,2002,10866.2518811768,,,0
EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita),United Arab Emirates,ARE,2001,11703.2751045514,,,0
EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita),United Arab Emirates,ARE,2000,8956.94929901911,,,0
EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita),Australia,AUS,2025,,,,0
EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita),Australia,AUS,2024,4750.59966458141,,,0
EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita),Australia,AUS,2023,4927.64894813822,,,0
EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita),Australia,AUS,2022,4942.16372202842,,,0
EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita),Australia,AUS,2021,5006.44306522882,,,0
EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita),Australia,AUS,2020,5159.03638381788,,,0
EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita),Australia,AUS,2019,5231.57466031316,,,0
EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita),Australia,AUS,2018,5086.37378454852,,,0
EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita),Australia,AUS,2017,5162.45894302308,,,0
EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita),Australia,AUS,2016,5216.98867184459,,,0
EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita),Australia,AUS,2015,5318.66679266228,,,0
EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita),Australia,AUS,2014,5407.4382264583,,,0
EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita),Australia,AUS,2013,5533.38146350965,,,0
EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita),Australia,AUS,2012,5533.72233837943,,,0
EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita),Australia,AUS,2011,5698.65597309349,,,0
EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita),Australia,AUS,2010,5762.9435664152,,,0
EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita),Australia,AUS,2009,5843.93312947132,,,0
EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita),Australia,AUS,2008,5951.19291532561,,,0
EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita),Australia,AUS,2007,5853.76413229662,,,0
EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita),Australia,AUS,2006,5775.11675226564,,,0
EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita),Australia,AUS,2005,5624.49561264785,,,0
EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita),Australia,AUS,2004,5652.13037917952,,,0
EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita),Australia,AUS,2003,5615.57675632995,,,0
EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita),Australia,AUS,2002,5480.23464289818,,,0
EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita),Australia,AUS,2001,5486.39455905443,,,0
EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita),Australia,AUS,2000,5681.22885913159,,,0
EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita),Brazil,BRA,2025,,,,0
EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita),Brazil,BRA,2024,1511.62383133688,,,0
EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita),Brazil,BRA,2023,1481.22439922518,,,0
EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita),Brazil,BRA,2022,1432.72741132919,,,0
EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita),Brazil,BRA,2021,1430.3934661032,,,0
EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita),Brazil,BRA,2020,1379.24649914162,,,0
