indicator_code,indicator_name,country,countryiso3code,year,value,unit,obs_status,decimal
NE.EXP.GNFS.CD,Exports of goods and services (current US$),United Arab Emirates,ARE,2025,,,,0
NE.EXP.GNFS.CD,Exports of goods and services (current US$),United Arab Emirates,ARE,2024,,,,0
NE.EXP.GNFS.CD,Exports of goods and services (current US$),United Arab Emirates,ARE,2023,558401633764.466,,,0
NE.EXP.GNFS.CD,Exports of goods and services (current US$),United Arab Emirates,ARE,2022,521897345132.743,,,0
NE.EXP.GNFS.CD,Exports of goods and services (current US$),United Arab Emirates,ARE,2021,425155888359.428,,,0
NE.EXP.GNFS.CD,Exports of goods and services (current US$),United Arab Emirates,ARE,2020,350277467665.078,,,0
NE.EXP.GNFS.CD,Exports of goods and services (current US$),United Arab Emirates,ARE,2019,404863172226.004,,,0
NE.EXP.GNFS.CD,Exports of goods and services (current US$),United Arab Emirates,ARE,2018,400217835262.083,,,0
NE.EXP.GNFS.CD,Exports of goods and services (current US$),United Arab Emirates,ARE,2017,382137508509.19,,,0
NE.EXP.GNFS.CD,Exports of goods and services (current US$),United Arab Emirates,ARE,2016,360626276378.489,,,0
NE.EXP.GNFS.CD,Exports of goods and services (current US$),United Arab Emirates,ARE,2015,358529611980.939,,,0
NE.EXP.GNFS.CD,Exports of goods and services (current US$),United Arab Emirates,ARE,2014,402728114363.513,,,0
NE.EXP.GNFS.CD,Exports of goods and services (current US$),United Arab Emirates,ARE,2013,392244520081.688,,,0
NE.EXP.GNFS.CD,Exports of goods and services (current US$),United Arab Emirates,ARE,2012,375513955071.477,,,0
NE.EXP.GNFS.CD,Exports of goods and services (current US$),United Arab Emirates,ARE,2011,315867937372.362,,,0
NE.EXP.GNFS.CD,Exports of goods and services (current US$),United Arab Emirates,ARE,2010,238328114363.513,,,0
NE.EXP.GNFS.CD,Exports of goods and services (current US$),United Arab Emirates,ARE,2009,201958883594.282,,,0
NE.EXP.GNFS.CD,Exports of goods and services (current US$),United Arab Emirates,ARE,2008,248808168822.328,,,0
NE.EXP.GNFS.CD,Exports of goods and services (current US$),United Arab Emirates,ARE,2007,186690265486.726,,,0
NE.EXP.GNFS.CD,Exports of goods and services (current US$),United Arab Emirates,ARE,2006,152433690946.222,,,0
NE.EXP.GNFS.CD,Exports of goods and services (current US$),United Arab Emirates,ARE,2005,122070878148.4,,,0
NE.EXP.GNFS.CD,Exports of goods and services (current US$),United Arab Emirates,ARE,2004,93968596324.03,,,0
NE.EXP.GNFS.CD,Exports of goods and services (current US$),United Arab Emirates,ARE,2003,69538461538.4615,,,0
NE.EXP.GNFS.CD,Exports of goods and services (current US$),United Arab Emirates,ARE,2002,54362695711.3683,,,0
NE.EXP.GNFS.CD,Exports of goods and services (current US$),United Arab Emirates,ARE,2001,50787202178.3526,,,0
NE.EXP.GNFS.CD,Exports of goods and services (current US$),United Arab Emirates,ARE,2000,,,,0
NE.EXP.GNFS.CD,Exports of goods and services (current US$),Australia,AUS,2025,418055624770.646,,,0
NE.EXP.GNFS.CD,Exports of goods and services (current US$),Australia,AUS,2024,432605705549.386,,,0
NE.EXP.GNFS.CD,Exports of goods and services (current US$),Australia,AUS,2023,463117015978.139,,,0
NE.EXP.GNFS.CD,Exports of goods and services (current US$),Australia,AUS,2022,431732710875.763,,,0
NE.EXP.GNFS.CD,Exports of goods and services (current US$),Australia,AUS,2021,343364164705.654,,,0
NE.EXP.GNFS.CD,Exports of goods and services (current US$),Australia,AUS,2020,319174580744.374,,,0
NE.EXP.GNFS.CD,Exports of goods and services (current US$),Australia,AUS,2019,336477593836.115,,,0
NE.EXP.GNFS.CD,Exports of goods and services (current US$),Australia,AUS,2018,312605804111.245,,,0
NE.EXP.GNFS.CD,Exports of goods and services (current US$),Australia,AUS,2017,281774035049.614,,,0
NE.EXP.GNFS.CD,Exports of goods and services (current US$),Australia,AUS,2016,232663011512.861,,,0
NE.EXP.GNFS.CD,Exports of goods and services (current US$),Australia,AUS,2015,271152836560.501,,,0
NE.EXP.GNFS.CD,Exports of goods and services (current US$),Australia,AUS,2014,309621975144.753,,,0
NE.EXP.GNFS.CD,Exports of goods and services (current US$),Australia,AUS,2013,315055128030.195,,,0
NE.EXP.GNFS.CD,Exports of goods and services (current US$),Australia,AUS,2012,332613569102.522,,,0
NE.EXP.GNFS.CD,Exports of goods and services (current US$),Australia,AUS,2011,299823615768.297,,,0
NE.EXP.GNFS.CD,Exports of goods and services (current US$),Australia,AUS,2010,227427026265.26,,,0
NE.EXP.GNFS.CD,Exports of goods and services (current US$),Australia,AUS,2009,213717313259.647,,,0
NE.EXP.GNFS.CD,Exports of goods and services (current US$),Australia,AUS,2008,212794797279.029,,,0
NE.EXP.GNFS.CD,Exports of goods and services (current US$),Australia,AUS,2007,172570464002.512,,,0
NE.EXP.GNFS.CD,Exports of goods and services (current US$),Australia,AUS,2006,148587374344.676,,,0
NE.EXP.GNFS.CD,Exports of goods and services (current US$),Australia,AUS,2005,126785667301.888,,,0
NE.EXP.GNFS.CD,Exports of goods and services (current US$),Australia,AUS,2004,105490823730.26,,,0
