indicator_code,indicator_name,country,countryiso3code,year,value,unit,obs_status,decimal
NY.GDP.MKTP.CD,GDP (current US$),United Arab Emirates,ARE,2025,,,,0
NY.GDP.MKTP.CD,GDP (current US$),United Arab Emirates,ARE,2024,552324919095.872,,,0
NY.GDP.MKTP.CD,GDP (current US$),United Arab Emirates,ARE,2023,522622268401.125,,,0
NY.GDP.MKTP.CD,GDP (current US$),United Arab Emirates,ARE,2022,511403404642.173,,,0
NY.GDP.MKTP.CD,GDP (current US$),United Arab Emirates,ARE,2021,422441282436.237,,,0
NY.GDP.MKTP.CD,GDP (current US$),United Arab Emirates,ARE,2020,357161776271.328,,,0
NY.GDP.MKTP.CD,GDP (current US$),United Arab Emirates,ARE,2019,433926218686.108,,,0
NY.GDP.MKTP.CD,GDP (current US$),United Arab Emirates,ARE,2018,440560003161.236,,,0
NY.GDP.MKTP.CD,GDP (current US$),United Arab Emirates,ARE,2017,403365056078.846,,,0
NY.GDP.MKTP.CD,GDP (current US$),United Arab Emirates,ARE,2016,381717208620.964,,,0
NY.GDP.MKTP.CD,GDP (current US$),United Arab Emirates,ARE,2015,381973135513.065,,,0
NY.GDP.MKTP.CD,GDP (current US$),United Arab Emirates,ARE,2014,424935834104.193,,,0
NY.GDP.MKTP.CD,GDP (current US$),United Arab Emirates,ARE,2013,409632574702.715,,,0
NY.GDP.MKTP.CD,GDP (current US$),United Arab Emirates,ARE,2012,392793559050.783,,,0
NY.GDP.MKTP.CD,GDP (current US$),United Arab Emirates,ARE,2011,368881033962.57,,,0
NY.GDP.MKTP.CD,GDP (current US$),United Arab Emirates,ARE,2010,307736348527.33,,,0
NY.GDP.MKTP.CD,GDP (current US$),United Arab Emirates,ARE,2009,253547358746.804,,,0
NY.GDP.MKTP.CD,GDP (current US$),United Arab Emirates,ARE,2008,315474615741.223,,,0
NY.GDP.MKTP.CD,GDP (current US$),United Arab Emirates,ARE,2007,257916148767.436,,,0
NY.GDP.MKTP.CD,GDP (current US$),United Arab Emirates,ARE,2006,222116532963.026,,,0
NY.GDP.MKTP.CD,GDP (current US$),United Arab Emirates,ARE,2005,180617467954.23,,,0
NY.GDP.MKTP.CD,GDP (current US$),United Arab Emirates,ARE,2004,147824249957.985,,,0
NY.GDP.MKTP.CD,GDP (current US$),United Arab Emirates,ARE,2003,124346476180.46,,,0
NY.GDP.MKTP.CD,GDP (current US$),United Arab Emirates,ARE,2002,109816091078.603,,,0
NY.GDP.MKTP.CD,GDP (current US$),United Arab Emirates,ARE,2001,103311631797.329,,,0
NY.GDP.MKTP.CD,GDP (current US$),United Arab Emirates,ARE,2000,104337463730.167,,,0
NY.GDP.MKTP.CD,GDP (current US$),Australia,AUS,2025,1798518933689.21,,,0
NY.GDP.MKTP.CD,GDP (current US$),Australia,AUS,2024,1757022451652.83,,,0
NY.GDP.MKTP.CD,GDP (current US$),Australia,AUS,2023,1734451264655.6,,,0
NY.GDP.MKTP.CD,GDP (current US$),Australia,AUS,2022,1695627535475.8,,,0
NY.GDP.MKTP.CD,GDP (current US$),Australia,AUS,2021,1560617493202.69,,,0
NY.GDP.MKTP.CD,GDP (current US$),Australia,AUS,2020,1333336461648.09,,,0
NY.GDP.MKTP.CD,GDP (current US$),Australia,AUS,2019,1398349602956.35,,,0
NY.GDP.MKTP.CD,GDP (current US$),Australia,AUS,2018,1433144978761.67,,,0
NY.GDP.MKTP.CD,GDP (current US$),Australia,AUS,2017,1330890554614.09,,,0
NY.GDP.MKTP.CD,GDP (current US$),Australia,AUS,2016,1211588128417.61,,,0
NY.GDP.MKTP.CD,GDP (current US$),Australia,AUS,2015,1356805839935.9,,,0
NY.GDP.MKTP.CD,GDP (current US$),Australia,AUS,2014,1474677007565.64,,,0
NY.GDP.MKTP.CD,GDP (current US$),Australia,AUS,2013,1583737461925.39,,,0
NY.GDP.MKTP.CD,GDP (current US$),Australia,AUS,2012,1552728401401.58,,,0
NY.GDP.MKTP.CD,GDP (current US$),Australia,AUS,2011,1402939868653.4,,,0
NY.GDP.MKTP.CD,GDP (current US$),Australia,AUS,2010,1152566632022.13,,,0
NY.GDP.MKTP.CD,GDP (current US$),Australia,AUS,2009,931761689770.843,,,0
