indicator_code,indicator_name,country,countryiso3code,year,value,unit,obs_status,decimal
NY.GDP.PCAP.CD,GDP per capita (current US$),United Arab Emirates,ARE,2025,,,,1
NY.GDP.PCAP.CD,GDP per capita (current US$),United Arab Emirates,ARE,2024,50273.5126243239,,,1
NY.GDP.PCAP.CD,GDP per capita (current US$),United Arab Emirates,ARE,2023,49850.6945082084,,,1
NY.GDP.PCAP.CD,GDP per capita (current US$),United Arab Emirates,ARE,2022,50759.7590190204,,,1
NY.GDP.PCAP.CD,GDP per capita (current US$),United Arab Emirates,ARE,2021,44118.4936214315,,,1
NY.GDP.PCAP.CD,GDP per capita (current US$),United Arab Emirates,ARE,2020,37991.738387966,,,1
NY.GDP.PCAP.CD,GDP per capita (current US$),United Arab Emirates,ARE,2019,45938.6084572227,,,1
NY.GDP.PCAP.CD,GDP per capita (current US$),United Arab Emirates,ARE,2018,47135.3478795605,,,1
NY.GDP.PCAP.CD,GDP per capita (current US$),United Arab Emirates,ARE,2017,43733.6242018215,,,1
NY.GDP.PCAP.CD,GDP per capita (current US$),United Arab Emirates,ARE,2016,42721.1136110991,,,1
NY.GDP.PCAP.CD,GDP per capita (current US$),United Arab Emirates,ARE,2015,44910.3458860776,,,1
NY.GDP.PCAP.CD,GDP per capita (current US$),United Arab Emirates,ARE,2014,52725.2307981936,,,1
NY.GDP.PCAP.CD,GDP per capita (current US$),United Arab Emirates,ARE,2013,53247.2278745159,,,1
NY.GDP.PCAP.CD,GDP per capita (current US$),United Arab Emirates,ARE,2012,53141.6251661086,,,1
NY.GDP.PCAP.CD,GDP per capita (current US$),United Arab Emirates,ARE,2011,51921.8890746408,,,1
NY.GDP.PCAP.CD,GDP per capita (current US$),United Arab Emirates,ARE,2010,44795.2846234991,,,1
NY.GDP.PCAP.CD,GDP per capita (current US$),United Arab Emirates,ARE,2009,37803.0663737818,,,1
NY.GDP.PCAP.CD,GDP per capita (current US$),United Arab Emirates,ARE,2008,50054.1700685968,,,1
NY.GDP.PCAP.CD,GDP per capita (current US$),United Arab Emirates,ARE,2007,45854.7352436978,,,1
NY.GDP.PCAP.CD,GDP per capita (current US$),United Arab Emirates,ARE,2006,44342.603055045,,,1
NY.GDP.PCAP.CD,GDP per capita (current US$),United Arab Emirates,ARE,2005,38719.3138285388,,,1
NY.GDP.PCAP.CD,GDP per capita (current US$),United Arab Emirates,ARE,2004,33376.6880534412,,,1
NY.GDP.PCAP.CD,GDP per capita (current US$),United Arab Emirates,ARE,2003,29659.5710296993,,,1
NY.GDP.PCAP.CD,GDP per capita (current US$),United Arab Emirates,ARE,2002,27753.5810466782,,,1
NY.GDP.PCAP.CD,GDP per capita (current US$),United Arab Emirates,ARE,2001,27745.1684523079,,,1
NY.GDP.PCAP.CD,GDP per capita (current US$),United Arab Emirates,ARE,2000,29865.5285002232,,,1
NY.GDP.PCAP.CD,GDP per capita (current US$),Australia,AUS,2025,65129.7227990563,,,1
NY.GDP.PCAP.CD,GDP per capita (current US$),Australia,AUS,2024,64609.9865116088,,,1
NY.GDP.PCAP.CD,GDP per capita (current US$),Australia,AUS,2023,65058.3773146674,,,1
NY.GDP.PCAP.CD,GDP per capita (current US$),Australia,AUS,2022,65169.5191118657,,,1
NY.GDP.PCAP.CD,GDP per capita (current US$),Australia,AUS,2021,60758.9044397144,,,1
NY.GDP.PCAP.CD,GDP per capita (current US$),Australia,AUS,2020,51983.4523666382,,,1
NY.GDP.PCAP.CD,GDP per capita (current US$),Australia,AUS,2019,55194.7585097428,,,1
NY.GDP.PCAP.CD,GDP per capita (current US$),Australia,AUS,2018,57410.1737346009,,,1
NY.GDP.PCAP.CD,GDP per capita (current US$),Australia,AUS,2017,54117.547718609,,,1
NY.GDP.PCAP.CD,GDP per capita (current US$),Australia,AUS,2016,50084.4440606385,,,1
NY.GDP.PCAP.CD,GDP per capita (current US$),Australia,AUS,2015,56970.3613028094,,,1
