indicator_code,indicator_name,country,countryiso3code,year,value,unit,obs_status,decimal
NE.IMP.GNFS.CD,Imports of goods and services (current US$),United Arab Emirates,ARE,2025,,,,0
NE.IMP.GNFS.CD,Imports of goods and services (current US$),United Arab Emirates,ARE,2024,,,,0
NE.IMP.GNFS.CD,Imports of goods and services (current US$),United Arab Emirates,ARE,2023,481851599727.706,,,0
NE.IMP.GNFS.CD,Imports of goods and services (current US$),United Arab Emirates,ARE,2022,427991831177.672,,,0
NE.IMP.GNFS.CD,Imports of goods and services (current US$),United Arab Emirates,ARE,2021,347528931245.745,,,0
NE.IMP.GNFS.CD,Imports of goods and services (current US$),United Arab Emirates,ARE,2020,297228046289.993,,,0
NE.IMP.GNFS.CD,Imports of goods and services (current US$),United Arab Emirates,ARE,2019,306004084411.164,,,0
NE.IMP.GNFS.CD,Imports of goods and services (current US$),United Arab Emirates,ARE,2018,281535738597.685,,,0
NE.IMP.GNFS.CD,Imports of goods and services (current US$),United Arab Emirates,ARE,2017,285336963921.035,,,0
NE.IMP.GNFS.CD,Imports of goods and services (current US$),United Arab Emirates,ARE,2016,270714771953.71,,,0
NE.IMP.GNFS.CD,Imports of goods and services (current US$),United Arab Emirates,ARE,2015,268999319264.806,,,0
NE.IMP.GNFS.CD,Imports of goods and services (current US$),United Arab Emirates,ARE,2014,275110959836.624,,,0
NE.IMP.GNFS.CD,Imports of goods and services (current US$),United Arab Emirates,ARE,2013,252509462219.197,,,0
NE.IMP.GNFS.CD,Imports of goods and services (current US$),United Arab Emirates,ARE,2012,239748672566.372,,,0
NE.IMP.GNFS.CD,Imports of goods and services (current US$),United Arab Emirates,ARE,2011,215973042886.317,,,0
NE.IMP.GNFS.CD,Imports of goods and services (current US$),United Arab Emirates,ARE,2010,178610755616.065,,,0
NE.IMP.GNFS.CD,Imports of goods and services (current US$),United Arab Emirates,ARE,2009,187139823008.85,,,0
NE.IMP.GNFS.CD,Imports of goods and services (current US$),United Arab Emirates,ARE,2008,219714363512.594,,,0
NE.IMP.GNFS.CD,Imports of goods and services (current US$),United Arab Emirates,ARE,2007,166134240980.259,,,0
NE.IMP.GNFS.CD,Imports of goods and services (current US$),United Arab Emirates,ARE,2006,112930428863.172,,,0
NE.IMP.GNFS.CD,Imports of goods and services (current US$),United Arab Emirates,ARE,2005,93862491490.8101,,,0
NE.IMP.GNFS.CD,Imports of goods and services (current US$),United Arab Emirates,ARE,2004,78428046289.9932,,,0
NE.IMP.GNFS.CD,Imports of goods and services (current US$),United Arab Emirates,ARE,2003,57668073519.401,,,0
NE.IMP.GNFS.CD,Imports of goods and services (current US$),United Arab Emirates,ARE,2002,47845064669.8434,,,0
NE.IMP.GNFS.CD,Imports of goods and services (current US$),United Arab Emirates,ARE,2001,42053369639.2104,,,0
NE.IMP.GNFS.CD,Imports of goods and services (current US$),United Arab Emirates,ARE,2000,,,,0
NE.IMP.GNFS.CD,Imports of goods and services (current US$),Australia,AUS,2025,407490633310.53,,,0
NE.IMP.GNFS.CD,Imports of goods and services (current US$),Australia,AUS,2024,395749225409.455,,,0
NE.IMP.GNFS.CD,Imports of goods and services (current US$),Australia,AUS,2023,387533147572.319,,,0
NE.IMP.GNFS.CD,Imports of goods and services (current US$),Australia,AUS,2022,343078219088.328,,,0
NE.IMP.GNFS.CD,Imports of goods and services (current US$),Australia,AUS,2021,284038962017.929,,,0
NE.IMP.GNFS.CD,Imports of goods and services (current US$),Australia,AUS,2020,274154332727.111,,,0
NE.IMP.GNFS.CD,Imports of goods and services (current US$),Australia,AUS,2019,306786753625.531,,,0
NE.IMP.GNFS.CD,Imports of goods and services (current US$),Australia,AUS,2018,311861687284.904,,,0
NE.IMP.GNFS.CD,Imports of goods and services (current US$),Australia,AUS,2017,277671313150.053,,,0
NE.IMP.GNFS.CD,Imports of goods and services (current US$),Australia,AUS,2016,261827324555.529,,,0
NE.IMP.GNFS.CD,Imports of goods and services (current US$),Australia,AUS,2015,291850364122.4,,,0
NE.IMP.GNFS.CD,Imports of goods and services (current US$),Australia,AUS,2014,314156216978.941,,,0
NE.IMP.GNFS.CD,Imports of goods and services (current US$),Australia,AUS,2013,335869075673.186,,,0
NE.IMP.GNFS.CD,Imports of goods and services (current US$),Australia,AUS,2012,335367853143.349,,,0
NE.IMP.GNFS.CD,Imports of goods and services (current US$),Australia,AUS,2011,285510760029.696,,,0
NE.IMP.GNFS.CD,Imports of goods and services (current US$),Australia,AUS,2010,238100480913.207,,,0
NE.IMP.GNFS.CD,Imports of goods and services (current US$),Australia,AUS,2009,211106497147.687,,,0
NE.IMP.GNFS.CD,Imports of goods and services (current US$),Australia,AUS,2008,239715332950.148,,,0
NE.IMP.GNFS.CD,Imports of goods and services (current US$),Australia,AUS,2007,186601240480.49,,,0
NE.IMP.GNFS.CD,Imports of goods and services (current US$),Australia,AUS,2006,162450827269.882,,,0
NE.IMP.GNFS.CD,Imports of goods and services (current US$),Australia,AUS,2005,145652868456.563,,,0
NE.IMP.GNFS.CD,Imports of goods and services (current US$),Australia,AUS,2004,121992459809.361,,,0
NE.IMP.GNFS.CD,Imports of goods and services (current US$),Australia,AUS,2003,98900407687.8276,,,0
NE.IMP.GNFS.CD,Imports of goods and services (current US$),Australia,AUS,2002,82017039226.4277,,,0
NE.IMP.GNFS.CD,Imports of goods and services (current US$),Australia,AUS,2001,83770437082.2828,,,0
NE.IMP.GNFS.CD,Imports of goods and services (current US$),Australia,AUS,2000,89663284607.9064,,,0
NE.IMP.GNFS.CD,Imports of goods and services (current US$),Brazil,BRA,2025,398319353081.263,,,0
NE.IMP.GNFS.CD,Imports of goods and services (current US$),Brazil,BRA,2024,385708868264.323,,,0
NE.IMP.GNFS.CD,Imports of goods and services (current US$),Brazil,BRA,2023,343939883228.749,,,0
NE.IMP.GNFS.CD,Imports of goods and services (current US$),Brazil,BRA,2022,374482483050.831,,,0
NE.IMP.GNFS.CD,Imports of goods and services (current US$),Brazil,BRA,2021,309853308958.678,,,0
NE.IMP.GNFS.CD,Imports of goods and services (current US$),Brazil,BRA,2020,233941246230.247,,,0
NE.IMP.GNFS.CD,Imports of goods and services (current US$),Brazil,BRA,2019,276634813667.029,,,0
NE.IMP.GNFS.CD,Imports of goods and services (current US$),Brazil,BRA,2018,272994464677.427,,,0
NE.IMP.GNFS.CD,Imports of goods and services (current US$),Brazil,BRA,2017,243510584262.84,,,0
NE.IMP.GNFS.CD,Imports of goods and services (current US$),Brazil,BRA,2016,216686387069.85,,,0
NE.IMP.GNFS.CD,Imports of goods and services (current US$),Brazil,BRA,2015,253272712377.634,,,0
