indicator_code,indicator_name,country,countryiso3code,year,value,unit,obs_status,decimal
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",United Arab Emirates,ARE,2025,1.250865245598,,,1
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",United Arab Emirates,ARE,2024,1.66336510224894,,,1
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",United Arab Emirates,ARE,2023,1.62670837213248,,,1
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",United Arab Emirates,ARE,2022,5.29122604376849,,,1
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",United Arab Emirates,ARE,2021,0.179935336174431,,,1
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",United Arab Emirates,ARE,2020,-2.07940317940944,,,1
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",United Arab Emirates,ARE,2019,-1.93108114782173,,,1
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",United Arab Emirates,ARE,2018,3.06863379251997,,,1
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",United Arab Emirates,ARE,2017,1.96682557818842,,,1
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",United Arab Emirates,ARE,2016,1.61748808904198,,,1
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",United Arab Emirates,ARE,2015,4.06996608361593,,,1
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",United Arab Emirates,ARE,2014,2.34626865671643,,,1
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",United Arab Emirates,ARE,2013,1.1011183637571,,,1
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",United Arab Emirates,ARE,2012,0.662268900269009,,,1
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",United Arab Emirates,ARE,2011,0.87734659568512,,,1
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",United Arab Emirates,ARE,2010,0.877983288285867,,,1
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",United Arab Emirates,ARE,2009,1.5618131744907,,,1
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",United Arab Emirates,ARE,2008,12.2504202448139,,,1
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",United Arab Emirates,ARE,2007,,,,1
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",United Arab Emirates,ARE,2006,,,,1
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",United Arab Emirates,ARE,2005,,,,1
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",United Arab Emirates,ARE,2004,,,,1
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",United Arab Emirates,ARE,2003,,,,1
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",United Arab Emirates,ARE,2002,,,,1
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",United Arab Emirates,ARE,2001,,,,1
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",United Arab Emirates,ARE,2000,,,,1
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",Australia,AUS,2025,2.87403791660173,,,1
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",Australia,AUS,2024,3.16656665428797,,,1
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",Australia,AUS,2023,5.59701792296707,,,1
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",Australia,AUS,2022,6.59409658717841,,,1
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",Australia,AUS,2021,2.86391284709318,,,1
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",Australia,AUS,2020,0.846900734607273,,,1
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",Australia,AUS,2019,1.610770929127,,,1
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",Australia,AUS,2018,1.91140002818579,,,1
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",Australia,AUS,2017,1.94864309065653,,,1
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",Australia,AUS,2016,1.27699365720306,,,1
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",Australia,AUS,2015,1.50836803138463,,,1
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",Australia,AUS,2014,2.48792932080492,,,1
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",Australia,AUS,2013,2.44988248109259,,,1
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",Australia,AUS,2012,1.76278299052228,,,1
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",Australia,AUS,2011,3.30384784681081,,,1
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",Australia,AUS,2010,2.9183370211222,,,1
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",Australia,AUS,2009,1.77112025681656,,,1
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",Australia,AUS,2008,4.35029726664093,,,1
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",Australia,AUS,2007,2.32761442623159,,,1
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",Australia,AUS,2006,3.55528696972984,,,1
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",Australia,AUS,2005,2.69182949622197,,,1
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",Australia,AUS,2004,2.34325687131265,,,1
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",Australia,AUS,2003,2.73259754838937,,,1
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",Australia,AUS,2002,2.98157117047457,,,1
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",Australia,AUS,2001,4.40712998561533,,,1
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",Australia,AUS,2000,4.45743705920869,,,1
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",Brazil,BRA,2025,5.01675279604836,,,1
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",Brazil,BRA,2024,4.36746407652337,,,1
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",Brazil,BRA,2023,4.59356282283204,,,1
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",Brazil,BRA,2022,9.28010608956873,,,1
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",Brazil,BRA,2021,8.30165975585673,,,1
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",Brazil,BRA,2020,3.21176803803376,,,1
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",Brazil,BRA,2019,3.73297621216894,,,1
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",Brazil,BRA,2018,3.66485028376729,,,1
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",Brazil,BRA,2017,3.44637335032669,,,1
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",Brazil,BRA,2016,8.73914352329393,,,1
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",Brazil,BRA,2015,9.02990102416136,,,1
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",Brazil,BRA,2014,6.32904015516139,,,1
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",Brazil,BRA,2013,6.20431066640101,,,1
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",Brazil,BRA,2012,5.40349914036997,,,1
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",Brazil,BRA,2011,6.6364496221309,,,1
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",Brazil,BRA,2010,5.03872690108075,,,1
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",Brazil,BRA,2009,4.88803479876799,,,1
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",Brazil,BRA,2008,5.67859390284168,,,1
